asset_id,asset_type,category,label,semantic_use,primary_color_token,secondary_color_token,svg,png_preview,allowed_use,prohibited_use,license
vascular_context,symbol,tissue,Vascular context,"perfusion, transport, vascular tissue",red,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/vascular_context.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/vascular_context.png,vascular biology cue,do not let red imply failure unless intended,Original project artwork; repository MIT license.
epithelial_barrier,symbol,tissue,Epithelial barrier,barrier or lining tissue,teal,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/epithelial_barrier.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/epithelial_barrier.png,barrier tissue cue,do not imply a specific organ by itself,Original project artwork; repository MIT license.
brain_organ,symbol,organ,Brain organ,neural tissue or brain organoid context,purple,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/brain_organ.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/brain_organ.png,neural result anchor,keep distinct from organoid unless labeled,Original project artwork; repository MIT license.
lung_organ,symbol,organ,Lung organ,lung or respiration biology,teal,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/lung_organ.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/lung_organ.png,lung/tissue anchor,generic organ symbol only,Original project artwork; repository MIT license.
kidney_organ,symbol,organ,Kidney organ,renal tissue and kidney result slides,green,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/kidney_organ.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/kidney_organ.png,kidney/tissue anchor,generic organ symbol only,Original project artwork; repository MIT license.
liver_organ,symbol,organ,Liver organ,"liver, metabolism, detox biology",amber,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/liver_organ.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/liver_organ.png,liver/tissue anchor,avoid amber-dominant slide palettes,Original project artwork; repository MIT license.
sample_tube,symbol,assay,Sample tube,sample source and collection,blue,teal,assets/biovis_symbol_module_pack_v0_3/symbols/svg/sample_tube.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/sample_tube.png,sample/source marker,not a wet-lab protocol proof,Original project artwork; repository MIT license.
bulk_rna_assay,symbol,assay,Bulk RNA assay,bulk RNA-seq or transcriptomics,teal,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/bulk_rna_assay.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/bulk_rna_assay.png,bulk expression lane,do not use for single-cell payloads,Original project artwork; repository MIT license.
single_cell_droplet,symbol,assay,Single-cell droplet,single-cell capture and cell barcodes,blue,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/single_cell_droplet.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/single_cell_droplet.png,scRNA-seq modality marker,do not imply actual droplet chemistry,Original project artwork; repository MIT license.
proteomics_assay,symbol,assay,Proteomics assay,mass-spec or proteomics readout,amber,purple,assets/biovis_symbol_module_pack_v0_3/symbols/svg/proteomics_assay.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/proteomics_assay.png,proteomics modality marker,do not imply proteomics data without source,Original project artwork; repository MIT license.
microscopy_frame,symbol,assay,Microscopy frame,"imaging, microscopy, histology proof slot",rose,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/microscopy_frame.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/microscopy_frame.png,source-image placeholder,replace with source image for empirical claim,Original project artwork; repository MIT license.
omics_matrix,symbol,assay,Omics matrix,feature matrix or expression table,blue,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/omics_matrix.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/omics_matrix.png,matrix/task input marker,do not use as real heatmap values,Original project artwork; repository MIT license.
human_model,symbol,species,Human model,"human samples, cell lines, organoids",blue,purple,assets/biovis_symbol_module_pack_v0_3/symbols/svg/human_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/human_model.png,human/model-system marker,do not imply clinical cohort,Original project artwork; repository MIT license.
mouse_model,symbol,species,Mouse model,mouse and rodent experiments,green,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/mouse_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/mouse_model.png,mouse model marker,do not use for rat,Original project artwork; repository MIT license.
rat_model,symbol,species,Rat model,rat model or rodent extension,amber,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/rat_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/rat_model.png,rat model marker,do not use interchangeably with mouse,Original project artwork; repository MIT license.
fly_model,symbol,species,Fly model,Drosophila experiments,purple,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/fly_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/fly_model.png,fly/model organism marker,do not imply mammalian result,Original project artwork; repository MIT license.
worm_model,symbol,species,Worm model,C. elegans or worm experiments,teal,green,assets/biovis_symbol_module_pack_v0_3/symbols/svg/worm_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/worm_model.png,worm/model organism marker,do not imply tissue anatomy,Original project artwork; repository MIT license.
fish_model,symbol,species,Fish model,fish or zebrafish experiments,blue,teal,assets/biovis_symbol_module_pack_v0_3/symbols/svg/fish_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/fish_model.png,fish/model organism marker,do not imply mammal,Original project artwork; repository MIT license.
plant_model,symbol,species,Plant model,plant space biology experiments,green,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/plant_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/plant_model.png,plant/model marker,do not imply animal biology,Original project artwork; repository MIT license.
microbe_model,symbol,species,Microbe model,"microbes, yeast, microbial systems",rose,purple,assets/biovis_symbol_module_pack_v0_3/symbols/svg/microbe_model.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/microbe_model.png,microbe/model marker,do not imply pathogen relevance,Original project artwork; repository MIT license.
orbit_microgravity,symbol,space-context,Orbit microgravity,spaceflight or microgravity context,blue,sky,assets/biovis_symbol_module_pack_v0_3/symbols/svg/orbit_microgravity.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/orbit_microgravity.png,mission/stressor context,do not use as measured gravity condition,Original project artwork; repository MIT license.
radiation_stressor,symbol,space-context,Radiation stressor,radiation or stressor context,red,amber,assets/biovis_symbol_module_pack_v0_3/symbols/svg/radiation_stressor.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/radiation_stressor.png,space stressor marker,avoid alarm styling unless warranted,Original project artwork; repository MIT license.
source_record,symbol,trust,Source record,source dataset or record provenance,blue,teal,assets/biovis_symbol_module_pack_v0_3/symbols/svg/source_record.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/source_record.png,source provenance marker,do not imply validation,Original project artwork; repository MIT license.
checksum_record,symbol,trust,Checksum record,"hash, freeze, reproducibility",green,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/checksum_record.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/checksum_record.png,artifact freeze marker,not a scientific quality claim by itself,Original project artwork; repository MIT license.
split_guard,symbol,trust,Split guard,train/test split or leakage boundary,red,blue,assets/biovis_symbol_module_pack_v0_3/symbols/svg/split_guard.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/split_guard.png,leakage-control marker,do not use as generic warning,Original project artwork; repository MIT license.
caveat_flag,symbol,trust,Caveat flag,"limitation, preliminary status, caveat",amber,red,assets/biovis_symbol_module_pack_v0_3/symbols/svg/caveat_flag.svg,assets/biovis_symbol_module_pack_v0_3/symbols/png/caveat_flag.png,caveat marker,do not hide major caveats in small icon-only form,Original project artwork; repository MIT license.
generated_context,badge,trust-status,schematic,generated context asset,muted,,assets/biovis_symbol_module_pack_v0_3/badges/svg/generated_context.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/generated_context.png,mark schematic/non-source imagery,do not use on measured source figures,Original project artwork; repository MIT license.
source_proof,badge,trust-status,source,source-derived evidence,blue,,assets/biovis_symbol_module_pack_v0_3/badges/svg/source_proof.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/source_proof.png,mark real source-derived proof panels,do not use for generated art,Original project artwork; repository MIT license.
processed_result,badge,trust-status,processed,processed analysis output,teal,,assets/biovis_symbol_module_pack_v0_3/badges/svg/processed_result.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/processed_result.png,mark computed outputs and derived results,do not imply independent validation,Original project artwork; repository MIT license.
validated_result,badge,trust-status,validated,validated result,green,,assets/biovis_symbol_module_pack_v0_3/badges/svg/validated_result.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/validated_result.png,mark reviewed or validated result surfaces,do not use for preliminary checks,Original project artwork; repository MIT license.
preliminary,badge,trust-status,prelim,draft/preliminary status,amber,,assets/biovis_symbol_module_pack_v0_3/badges/svg/preliminary.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/preliminary.png,mark draft or exploratory analysis,do not hide uncertainty elsewhere,Original project artwork; repository MIT license.
caveat,badge,trust-status,caveat,explicit limitation,red,,assets/biovis_symbol_module_pack_v0_3/badges/svg/caveat.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/caveat.png,mark claim boundary or limitation,do not use decoratively,Original project artwork; repository MIT license.
train_only,badge,trust-status,train-only,train-only processing,purple,,assets/biovis_symbol_module_pack_v0_3/badges/svg/train_only.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/train_only.png,mark leakage-safe train-only step,do not use if test information leaks in,Original project artwork; repository MIT license.
held_out,badge,trust-status,held-out,held-out evaluation,blue,,assets/biovis_symbol_module_pack_v0_3/badges/svg/held_out.svg,assets/biovis_symbol_module_pack_v0_3/badges/png/held_out.png,mark withheld test or mission split,do not use for random internal checks,Original project artwork; repository MIT license.
biological_scale_ladder,module,scale,Biological scale ladder,molecule-cell-tissue-organ-organism hierarchy,,,assets/biovis_symbol_module_pack_v0_3/modules/svg/biological_scale_ladder.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/biological_scale_ladder.png,"methods overview, bridge slides, figure annotations",do not present as a causal sequence,Original project artwork; repository MIT license.
sample_to_feature_stack,module,workflow,Sample to feature stack,sample to assay to matrix to program to model,,,assets/biovis_symbol_module_pack_v0_3/modules/svg/sample_to_feature_stack.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/sample_to_feature_stack.png,methods pipeline explanation,do not imply all steps were run for every dataset,Original project artwork; repository MIT license.
species_coverage_strip,module,scope,Species coverage strip,multi-species/model-system scope,,,assets/biovis_symbol_module_pack_v0_3/modules/svg/species_coverage_strip.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/species_coverage_strip.png,"scope slide, dataset coverage, extension planning",do not imply included analysis without status labels,Original project artwork; repository MIT license.
modality_lane_set,module,scope,Modality lane set,"bulk, single-cell, spatial, proteomics, imaging, organoid modalities",,,assets/biovis_symbol_module_pack_v0_3/modules/svg/modality_lane_set.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/modality_lane_set.png,data collection and analysis scope,do not imply availability for every species,Original project artwork; repository MIT license.
trust_status_ribbon,module,trust,Trust status ribbon,"source, checksum, split guard, processed result, caveat",,,assets/biovis_symbol_module_pack_v0_3/modules/svg/trust_status_ribbon.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/trust_status_ribbon.png,method QA and artifact governance,do not use as generic decoration,Original project artwork; repository MIT license.
claim_boundary_bar,module,trust,Claim boundary bar,schematic context vs source proof vs processed result vs validated claim,,,assets/biovis_symbol_module_pack_v0_3/modules/svg/claim_boundary_bar.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/claim_boundary_bar.png,claim boundary and footer modules,do not shrink until labels become unreadable,Original project artwork; repository MIT license.
space_bio_assay_lane,module,workflow,Space biology assay lane,mission/stressor to tissue to assay to feature layer,,,assets/biovis_symbol_module_pack_v0_3/modules/svg/space_bio_assay_lane.svg,assets/biovis_symbol_module_pack_v0_3/modules/png/space_bio_assay_lane.png,SpaceBio-Bench method explanation,do not imply a temporal biological mechanism,Original project artwork; repository MIT license.
biological_scale_ladder_dark,module_dark,scale,Biological scale ladder dark,molecule-cell-tissue-organ-organism hierarchy; dark-field variant,deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/biological_scale_ladder.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/biological_scale_ladder.png,"methods overview, bridge slides, figure annotations; dark-canvas slides",do not present as a causal sequence,Original project artwork; repository MIT license.
sample_to_feature_stack_dark,module_dark,workflow,Sample to feature stack dark,sample to assay to matrix to program to model; dark-field variant,deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/sample_to_feature_stack.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/sample_to_feature_stack.png,methods pipeline explanation; dark-canvas slides,do not imply all steps were run for every dataset,Original project artwork; repository MIT license.
species_coverage_strip_dark,module_dark,scope,Species coverage strip dark,multi-species/model-system scope; dark-field variant,deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/species_coverage_strip.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/species_coverage_strip.png,"scope slide, dataset coverage, extension planning; dark-canvas slides",do not imply included analysis without status labels,Original project artwork; repository MIT license.
modality_lane_set_dark,module_dark,scope,Modality lane set dark,"bulk, single-cell, spatial, proteomics, imaging, organoid modalities; dark-field variant",deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/modality_lane_set.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/modality_lane_set.png,data collection and analysis scope; dark-canvas slides,do not imply availability for every species,Original project artwork; repository MIT license.
trust_status_ribbon_dark,module_dark,trust,Trust status ribbon dark,"source, checksum, split guard, processed result, caveat; dark-field variant",deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/trust_status_ribbon.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/trust_status_ribbon.png,method QA and artifact governance; dark-canvas slides,do not use as generic decoration,Original project artwork; repository MIT license.
claim_boundary_bar_dark,module_dark,trust,Claim boundary bar dark,schematic context vs source proof vs processed result vs validated claim; dark-field variant,deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/claim_boundary_bar.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/claim_boundary_bar.png,claim boundary and footer modules; dark-canvas slides,do not shrink until labels become unreadable,Original project artwork; repository MIT license.
space_bio_assay_lane_dark,module_dark,workflow,Space biology assay lane dark,mission/stressor to tissue to assay to feature layer; dark-field variant,deep,,assets/biovis_symbol_module_pack_v0_3/modules_dark/svg/space_bio_assay_lane.svg,assets/biovis_symbol_module_pack_v0_3/modules_dark/png/space_bio_assay_lane.png,SpaceBio-Bench method explanation; dark-canvas slides,do not imply a temporal biological mechanism,Original project artwork; repository MIT license.
